,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,topic,Cluster
Doc662,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc663,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc664,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc665,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc666,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc667,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc668,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc669,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc670,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc671,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc672,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc673,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc674,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc675,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc676,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc677,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc678,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc679,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc680,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc681,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc682,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc683,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc684,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc685,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc686,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc687,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc688,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc689,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc690,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc691,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc692,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc693,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc694,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc695,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc696,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc697,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc698,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc699,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc700,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc701,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc702,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc703,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc704,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc705,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc706,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc707,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc708,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc709,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc710,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc711,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc712,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc713,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc714,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc715,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc716,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc717,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc718,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc719,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc720,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc721,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc722,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc723,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc724,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc725,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc726,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc727,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc728,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc729,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc730,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc731,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc732,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc733,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc734,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc735,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc736,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc737,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc738,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc739,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc740,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc741,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc742,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc743,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc744,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc745,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc746,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc747,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc748,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc749,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc750,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc751,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc752,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc753,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc754,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc755,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc756,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc757,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc758,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc759,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc760,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc761,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc762,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc763,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc764,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc765,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc766,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc767,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc768,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc769,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc770,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc771,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc772,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc773,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc774,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc775,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc776,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc777,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc778,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc779,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc780,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc781,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc782,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc783,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc784,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc785,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc786,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc787,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc788,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc789,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc790,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc791,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc792,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc793,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc794,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc795,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc796,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc797,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc798,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc799,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc800,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc801,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc802,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc803,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc804,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc805,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc806,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc807,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc808,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc809,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc810,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc811,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc812,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc813,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc814,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc815,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc816,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc817,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc818,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc819,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc820,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc821,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc822,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc823,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc824,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc825,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc826,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc827,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc828,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc829,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc830,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc831,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc832,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc833,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc834,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc835,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc836,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc837,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc838,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc839,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc840,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc841,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc842,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc843,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc844,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc845,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc846,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc847,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc848,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc849,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc850,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc851,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc852,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc853,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc854,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc855,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc856,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc857,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc858,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc859,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc860,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc861,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc862,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc863,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc864,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc865,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc866,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc867,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc868,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc869,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc870,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc871,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc872,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc873,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc874,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc875,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc876,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc877,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc878,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc879,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc880,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc881,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc882,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc883,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc884,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc885,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc886,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc887,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc888,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc889,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc890,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc891,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc892,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc893,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc894,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc895,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc896,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc897,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc898,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc899,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc900,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc901,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc902,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc903,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc904,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc905,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc906,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc907,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc908,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc909,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc910,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc911,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc912,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc913,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc914,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc915,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc916,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc917,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc918,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc919,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc920,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc921,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc922,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc923,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc924,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc925,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc926,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc927,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc928,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc929,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc930,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc931,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc932,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc933,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc934,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc935,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc936,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc937,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc938,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc939,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc940,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc941,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc942,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc943,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc944,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc945,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc946,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc947,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc948,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc949,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc950,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc951,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc952,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc953,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc954,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc955,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc956,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc957,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc958,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc959,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc960,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc961,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc962,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc963,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc964,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc965,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc966,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc967,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc968,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc969,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc970,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc971,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc972,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc973,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc974,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc975,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc976,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc977,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc978,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc979,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc980,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc981,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc982,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc983,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc984,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc985,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc986,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc987,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc988,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc989,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc990,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc991,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc992,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc993,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
