,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Dominant topic,Cluster
Doc 907,0.02,0.02,0.02,0.12,0.02,0.79,0.02,Topic 5,Cluster 1
Doc 908,0.01,0.01,0.02,0.01,0.88,0.07,0.01,Topic 4,Cluster 0
Doc 909,0.03,0.03,0.03,0.03,0.85,0.03,0.03,Topic 4,Cluster 0
Doc 910,0.39,0.02,0.52,0.02,0.02,0.02,0.02,Topic 2,Cluster 0
Doc 911,0.75,0.01,0.01,0.01,0.18,0.01,0.01,Topic 0,Cluster 0
Doc 912,0.01,0.01,0.01,0.01,0.93,0.01,0.01,Topic 4,Cluster 0
Doc 913,0.02,0.02,0.02,0.89,0.02,0.02,0.02,Topic 3,Cluster 0
Doc 914,0.01,0.01,0.01,0.01,0.45,0.49,0.01,Topic 5,Cluster 0
Doc 915,0.02,0.02,0.02,0.02,0.76,0.16,0.02,Topic 4,Cluster 0
Doc 916,0.05,0.02,0.02,0.02,0.86,0.02,0.02,Topic 4,Cluster 0
Doc 917,0.01,0.01,0.01,0.01,0.88,0.05,0.01,Topic 4,Cluster 1
Doc 918,0.02,0.02,0.02,0.14,0.77,0.02,0.02,Topic 4,Cluster 0
Doc 919,0.94,0.01,0.01,0.01,0.01,0.01,0.01,Topic 0,Cluster 1
Doc 920,0.01,0.03,0.01,0.01,0.46,0.46,0.01,Topic 4,Cluster 1
Doc 921,0.02,0.02,0.02,0.02,0.91,0.02,0.02,Topic 4,Cluster 0
Doc 922,0.02,0.02,0.02,0.02,0.9,0.02,0.02,Topic 4,Cluster 0
Doc 923,0.78,0.01,0.01,0.01,0.17,0.01,0.01,Topic 0,Cluster 0
Doc 924,0.01,0.01,0.01,0.92,0.01,0.01,0.01,Topic 3,Cluster 0
Doc 925,0.01,0.01,0.01,0.01,0.69,0.24,0.01,Topic 4,Cluster 1
Doc 926,0.02,0.02,0.9,0.02,0.02,0.02,0.02,Topic 2,Cluster 0
Doc 927,0.01,0.01,0.76,0.01,0.18,0.01,0.01,Topic 2,Cluster 0
Doc 928,0.88,0.02,0.02,0.02,0.02,0.02,0.02,Topic 0,Cluster 0
Doc 929,0.02,0.02,0.02,0.02,0.82,0.08,0.02,Topic 4,Cluster 0
Doc 930,0.01,0.01,0.01,0.61,0.33,0.01,0.01,Topic 3,Cluster 0
Doc 931,0.69,0.01,0.01,0.01,0.24,0.01,0.01,Topic 0,Cluster 0
Doc 932,0.73,0.01,0.01,0.01,0.2,0.01,0.01,Topic 0,Cluster 1
Doc 933,0.01,0.01,0.04,0.01,0.9,0.01,0.01,Topic 4,Cluster 0
Doc 934,0.04,0.02,0.02,0.02,0.88,0.02,0.02,Topic 4,Cluster 0
