,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Dominant topic,Cluster
Doc 133,0.0,0.0,0.0,0.91,0.08,0.0,0.0,Topic 3,Cluster 1
Doc 134,0.0,0.0,0.26,0.0,0.74,0.0,0.0,Topic 4,Cluster 1
Doc 135,0.48,0.0,0.0,0.16,0.0,0.0,0.36,Topic 0,Cluster 1
Doc 136,0.02,0.9,0.08,0.0,0.0,0.0,0.0,Topic 1,Cluster 1
Doc 137,0.0,0.0,0.0,0.82,0.0,0.0,0.18,Topic 3,Cluster 1
Doc 138,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Topic 0,Cluster 1
Doc 139,0.0,0.0,0.0,0.0,0.99,0.0,0.0,Topic 4,Cluster 1
Doc 140,0.0,0.0,0.0,0.99,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 141,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 142,0.0,0.0,0.0,0.0,0.99,0.0,0.0,Topic 4,Cluster 1
Doc 143,0.0,0.0,0.0,0.0,0.0,0.0,0.99,Topic 6,Cluster 1
Doc 144,0.0,0.07,0.0,0.92,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 145,0.07,0.16,0.21,0.0,0.56,0.0,0.0,Topic 4,Cluster 1
Doc 146,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Topic 2,Cluster 1
Doc 148,0.0,0.17,0.0,0.82,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 149,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 150,0.0,0.0,0.0,0.0,0.3,0.0,0.69,Topic 6,Cluster 1
Doc 151,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 152,0.0,0.0,0.0,0.0,0.0,0.0,0.99,Topic 6,Cluster 1
Doc 153,0.0,0.0,0.88,0.12,0.0,0.0,0.0,Topic 2,Cluster 1
Doc 154,0.0,0.0,0.99,0.0,0.0,0.01,0.0,Topic 2,Cluster 1
Doc 155,0.0,0.0,0.31,0.0,0.0,0.69,0.0,Topic 5,Cluster 1
Doc 156,0.28,0.0,0.0,0.0,0.0,0.05,0.64,Topic 6,Cluster 1
Doc 157,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Topic 1,Cluster 1
Doc 158,0.0,0.96,0.0,0.03,0.0,0.0,0.0,Topic 1,Cluster 1
Doc 159,0.05,0.0,0.0,0.95,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 160,0.0,0.0,0.0,0.99,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 161,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 162,0.39,0.0,0.34,0.0,0.0,0.28,0.0,Topic 0,Cluster 1
